Dia;Temperatura_C;Umidade_RH;Maquina
12;12,2;60,2;RS1-180
12;12,2;60,0;RS1-180
12;11,9;60,7;RS1-180
12;12,0;60,2;RS1-180
12;12,0;60,5;RS1-180
12;12,2;60,4;RS1-180
12;12,2;60,9;RS1-180
12;12,2;60,4;RS1-180
12;12,2;59,8;RS1-180
12;12,5;60,5;RS1-180
12;12,2;61,1;RS1-180
12;12,4;61,8;RS1-180
12;12,4;61,8;RS1-180
12;12,4;61,0;RS1-180
12;12,1;62,1;RS1-180
12;12,1;63,0;RS1-180
12;12,1;62,1;RS1-180
12;12,3;61,7;RS1-180
12;12,3;61,8;RS1-180
12;12,3;62,5;RS1-180
12;12,3;61,9;RS1-180
12;12,3;61,5;RS1-180
12;12,3;60,2;RS1-180
12;12,4;61,5;RS1-180
12;12,0;62,1;RS1-180
12;12,1;61,5;RS1-180
13;12,2;60,5;RS1-180
13;12,1;61,5;RS1-180
13;11,9;61,2;RS1-180
13;12,4;60,4;RS1-180
13;12,0;61,0;RS1-180
13;12,0;61,9;RS1-180
13;12,0;60,6;RS1-180
13;12,0;60,6;RS1-180
13;12,0;59,9;RS1-180
13;12,3;60,0;RS1-180
13;11,8;61,8;RS1-180
13;11,9;60,8;RS1-180
13;12,2;59,3;RS1-180
13;12,1;60,8;RS1-180
13;12,0;58,5;RS1-180
13;12,2;58,7;RS1-180
12;12,2;61,6;RS1-190
12;12,3;61,0;RS1-190
12;12,3;60,8;RS1-190
12;12,2;61,0;RS1-190
12;12,2;61,7;RS1-190
12;12,2;61,0;RS1-190
12;12,2;60,8;RS1-190
12;12,2;61,3;RS1-190
12;12,1;62,3;RS1-190
12;12,2;60,8;RS1-190
12;12,1;61,3;RS1-190
12;12,1;61,4;RS1-190
12;12,2;61,4;RS1-190
12;12,2;60,6;RS1-190
12;12,2;60,1;RS1-190
12;12,2;60,2;RS1-190
12;12,1;61,2;RS1-190
12;12,1;60,5;RS1-190
12;12,1;60,6;RS1-190
12;12,1;60,6;RS1-190
12;12,1;61,4;RS1-190
12;12,2;60,8;RS1-190
12;12,3;61,1;RS1-190
12;12,3;61,5;RS1-190
12;12,0;62,3;RS1-190
12;12,2;61,2;RS1-190
12;12,2;61,2;RS1-190
12;12,2;61,4;RS1-190
12;12,3;62,3;RS1-190
12;12,4;61,4;RS1-190
12;12,5;61,5;RS1-190
12;12,6;62,2;RS1-190
12;12,6;62,3;RS1-190
12;12,6;62,9;RS1-190
12;12,6;63,0;RS1-190
12;12,6;63,1;RS1-190
12;12,5;62,9;RS1-190
12;12,5;63,4;RS1-190
12;12,5;63,5;RS1-190
12;12,4;63,6;RS1-190
12;12,5;63,8;RS1-190
12;12,5;63,9;RS1-190
12;12,4;63,8;RS1-190
12;12,4;63,6;RS1-190
12;12,4;63,4;RS1-190
12;12,5;63,4;RS1-190
