Dia;Turno;Temperatura_C;Umidade_RH;Maquina
13;Turno 3;11,8;63;RS1-080
13;Turno 3;11,6;63,5;RS1-080
13;Turno 3;11,8;63,5;RS1-080
13;Turno 3;12,1;63;RS1-080
13;Turno 3;11,8;63;RS1-080
13;Turno 3;11,6;63,5;RS1-080
13;Turno 3;11,7;63;RS1-080
13;Turno 3;11,9;62,5;RS1-080
13;Turno 3;11,9;62,5;RS1-080
13;Turno 3;11,6;63;RS1-080
13;Turno 3;11,7;63;RS1-080
13;Turno 3;12;62,5;RS1-080
13;Turno 3;11,7;62,5;RS1-080
13;Turno 3;11,7;62,5;RS1-080
13;Turno 1;11,9;62,5;RS1-080
12;Turno 3;11,8;63;RS1-090
12;Turno 3;12,1;60,5;RS1-090
12;Turno 3;11,8;61,5;RS1-090
12;Turno 3;11,7;61;RS1-090
12;Turno 3;11,7;62;RS1-090
12;Turno 3;12;61;RS1-090
12;Turno 3;11,6;60,5;RS1-090
12;Turno 3;11,5;61,5;RS1-090
12;Turno 3;11,5;63;RS1-090
12;Turno 3;12,3;60,5;RS1-090
12;Turno 3;11,5;61;RS1-090
12;Turno 3;11,5;62,5;RS1-090
12;Turno 3;11,7;62;RS1-090
12;Turno 3;11,9;60;RS1-090
12;Turno 3;11,8;60;RS1-090
12;Turno 1;11,8;60;RS1-090
12;Turno 1;11,7;61,5;RS1-090
12;Turno 1;12;60;RS1-090
12;Turno 1;11,5;60,5;RS1-090
12;Turno 1;11,6;61;RS1-090
12;Turno 1;11,7;62;RS1-090
12;Turno 1;12,3;60;RS1-090
12;Turno 1;11,8;61;RS1-090
12;Turno 1;11,9;61,5;RS1-090
12;Turno 1;11,7;62,5;RS1-090
12;Turno 1;12,2;60,5;RS1-090
12;Turno 1;11,8;61;RS1-090
12;Turno 1;11,9;61,5;RS1-090
12;Turno 1;12,2;62,5;RS1-090
12;Turno 1;12,4;60,5;RS1-090
12;Turno 1;12,6;62;RS1-090
12;Turno 1;12,8;61;RS1-090
12;Turno 2;12,8;61;RS1-090
12;Turno 2;12,9;61;RS1-090
12;Turno 2;12,9;61;RS1-090
12;Turno 2;12,9;61,5;RS1-090
12;Turno 2;12,8;61,5;RS1-090
12;Turno 2;12,6;61,5;RS1-090
12;Turno 2;12,6;61,5;RS1-090
12;Turno 2;12,5;62;RS1-090
12;Turno 2;12,7;62,5;RS1-090
12;Turno 2;12,6;62,5;RS1-090
12;Turno 2;12,5;62,5;RS1-090
12;Turno 2;12,5;62,5;RS1-090
12;Turno 2;12,7;61,5;RS1-090
12;Turno 2;12,7;61,5;RS1-090
12;Turno 2;12,5;61,5;RS1-090
12;Turno 2;12,4;61,5;RS1-090
13;Turno 3;12,5;61;RS1-090
13;Turno 3;12,5;61;RS1-090
13;Turno 3;12,4;61;RS1-090
13;Turno 3;12,4;61;RS1-090
13;Turno 3;12,5;61;RS1-090
13;Turno 3;12,5;61;RS1-090
13;Turno 3;12,4;61;RS1-090
13;Turno 3;12,4;60,5;RS1-090
13;Turno 3;12,4;60,5;RS1-090
13;Turno 3;12,5;60,5;RS1-090
13;Turno 3;12,2;60,5;RS1-090
13;Turno 3;12,3;61;RS1-090
13;Turno 3;12,4;60,5;RS1-090
13;Turno 3;12,4;60,5;RS1-090
13;Turno 3;12,4;60;RS1-090
13;Turno 1;12,4;60;RS1-090
12;Turno 3;12,2;59,5;RS1-180
12;Turno 3;12;60,2;RS1-180
12;Turno 3;12;59,5;RS1-180
12;Turno 3;12,2;59,9;RS1-180
12;Turno 3;12,1;60,2;RS1-180
12;Turno 3;11,9;60,2;RS1-180
12;Turno 3;11,9;59,9;RS1-180
12;Turno 3;12,2;59,7;RS1-180
12;Turno 3;12;60,2;RS1-180
12;Turno 3;12,1;59,7;RS1-180
12;Turno 3;11,8;60,5;RS1-180
12;Turno 3;12;59,6;RS1-180
12;Turno 3;12,1;59,5;RS1-180
12;Turno 3;12,1;59,9;RS1-180
12;Turno 3;12;58;RS1-180
12;Turno 1;12;57,4;RS1-180
12;Turno 1;11,9;57,5;RS1-180
12;Turno 1;11,9;58;RS1-180
12;Turno 1;11,9;58,9;RS1-180
12;Turno 1;12,1;57,3;RS1-180
12;Turno 1;12,1;59,8;RS1-180
12;Turno 1;12,2;60,2;RS1-180
12;Turno 1;12,2;60,2;RS1-180
12;Turno 1;12,2;60;RS1-180
12;Turno 1;11,9;60,7;RS1-180
12;Turno 1;12;60,2;RS1-180
12;Turno 1;12;60,5;RS1-180
